sha,message,jaccard_score,rater1_labels,rater2_labels,only_rater1,only_rater2,common_labels
007b7dfa41b285f62ed244b6a0b79b91e84abdd5,Improve variable names for clarity,0.3333333333333333,"Bad Identifier​, Incomplete or Inadequate Code Documentation​","Bad Identifier​, Inconsistent or Disrupted Formatting​",Incomplete or Inadequate Code Documentation​,Inconsistent or Disrupted Formatting​,Bad Identifier​
008244d55c3ca9a634b6a2ac38ca8c65d319d694,"[CONTROL]: consolidate MemoryVault directory

Tetrahedral impact:\n- CREATE: renamed and inserted interface docs\n- COPY: preserved PHENO files at new level\n- CONTROL: updated references and removed scaffolding\n- CULTIVATE: clarified agent usage

F33ling: clarity surge\nQuantum signature: o=))))) 🐙✨",0.0,Incomplete or Inadequate Code Documentation​,"Wrong, Missing, or Inadequate String Expression or Literal​",Incomplete or Inadequate Code Documentation​,"Wrong, Missing, or Inadequate String Expression or Literal​",
00c2f5043e80be88dc3337d5e57a73358f5ca11a,"WIP crew events emitter (#2048)

* WIP crew events emitter

* Refactor event handling and introduce new event types

- Migrate from global `emit` function to `event_bus.emit`
- Add new event types for task failures, tool usage, and agent execution
- Update event listeners and event bus to support more granular event tracking
- Remove deprecated event emission methods
- Improve event type consistency and add more detailed event information

* Add event emission for agent execution lifecycle

- Emit AgentExecutionStarted and AgentExecutionError events
- Update CrewAgentExecutor to use event_bus for tracking agent execution
- Refactor error handling to include event emission
- Minor code formatting improvements in task.py and crew_agent_executor.py
- Fix a typo in test file

* Refactor event system and add third-party event listeners

- Move event_bus import to correct module paths
- Introduce BaseEventListener abstract base class
- Add AgentOpsListener for third-party event tracking
- Update event listener initialization and setup
- Clean up event-related imports and exports

* Enhance event system type safety and error handling

- Improve type annotations for event bus and event types
- Add null checks for agent and task in event emissions
- Update import paths for base tool and base agent
- Refactor event listener type hints
- Remove unnecessary print statements
- Update test configurations to match new event handling

* Refactor event classes to improve type safety and naming consistency

- Rename event classes to have explicit 'Event' suffix (e.g., TaskStartedEvent)
- Update import statements and references across multiple files
- Remove deprecated events.py module
- Enhance event type hints and configurations
- Clean up unnecessary event-related code

* Add default model for CrewEvaluator and fix event import order

- Set default model to ""gpt-4o-mini"" in CrewEvaluator when no model is specified
- Reorder event-related imports in task.py to follow standard import conventions
- Update event bus initialization method return type hint
- Export event_bus in events/__init__.py

* Fix tool usage and event import handling

- Update tool usage to use `.get()` method when checking tool name
- Remove unnecessary `__all__` export list in events/__init__.py

* Refactor Flow and Agent event handling to use event_bus

- Remove `event_emitter` from Flow class and replace with `event_bus.emit()`
- Update Flow and Agent tests to use event_bus event listeners
- Remove redundant event emissions in Flow methods
- Add debug print statements in Flow execution
- Simplify event tracking in test cases

* Enhance event handling for Crew, Task, and Event classes

- Add crew name to failed event types (CrewKickoffFailedEvent, CrewTrainFailedEvent, CrewTestFailedEvent)
- Update Task events to remove redundant task and context attributes
- Refactor EventListener to use Logger for consistent event logging
- Add new event types for Crew train and test events
- Improve event bus event tracking in test cases

* Remove telemetry and tracing dependencies from Task and Flow classes

- Remove telemetry-related imports and private attributes from Task class
- Remove `_telemetry` attribute from Flow class
- Update event handling to emit events without direct telemetry tracking
- Simplify task and flow execution by removing explicit telemetry spans
- Move telemetry-related event handling to EventListener

* Clean up unused imports and event-related code

- Remove unused imports from various event and flow-related files
- Reorder event imports to follow standard conventions
- Remove unnecessary event type references
- Simplify import statements in event and flow modules

* Update crew test to validate verbose output and kickoff_for_each method

- Enhance test_crew_verbose_output to check specific listener log messages
- Modify test_kickoff_for_each_invalid_input to use Pydantic validation error
- Improve test coverage for crew logging and input validation

* Update crew test verbose output with improved emoji icons

- Replace task and agent completion icons from 👍 to ✅
- Enhance readability of test output logging
- Maintain consistent test coverage for crew verbose output

* Add MethodExecutionFailedEvent to handle flow method execution failures

- Introduce new MethodExecutionFailedEvent in flow_events module
- Update Flow class to catch and emit method execution failures
- Add event listener for method execution failure events
- Update event-related imports to include new event type
- Enhance test coverage for method execution failure handling

* Propagate method execution failures in Flow class

- Modify Flow class to re-raise exceptions after emitting MethodExecutionFailedEvent
- Reorder MethodExecutionFailedEvent import to maintain consistent import style

* Enable test coverage for Flow method execution failure event

- Uncomment pytest.raises() in test_events to verify exception handling
- Ensure test validates MethodExecutionFailedEvent emission during flow kickoff

* Add event handling for tool usage events

- Introduce event listeners for ToolUsageFinishedEvent and ToolUsageErrorEvent
- Log tool usage events with descriptive emoji icons (✅ and ❌)
- Update event_listener to track and log tool usage lifecycle

* Reorder and clean up event imports in event_listener

- Reorganize imports for tool usage events and other event types
- Maintain consistent import ordering and remove unused imports
- Ensure clean and organized import structure in event_listener module

* moving to dedicated eventlistener

* dont forget crew level

* Refactor AgentOps event listener for crew-level tracking

- Modify AgentOpsListener to handle crew-level events
- Initialize and end AgentOps session at crew kickoff and completion
- Create agents for each crew member during session initialization
- Improve session management and event recording
- Clean up and simplify event handling logic

* Update test_events to validate tool usage error event handling

- Modify test to assert single error event with correct attributes
- Use pytest.raises() to verify error event generation
- Simplify error event validation in test case

* Improve AgentOps listener type hints and formatting

- Add string type hints for AgentOps classes to resolve potential import issues
- Clean up unnecessary whitespace and improve code indentation
- Simplify initialization and event handling logic

* Update test_events to validate multiple tool usage events

- Modify test to assert 75 events instead of a single error event
- Remove pytest.raises() check, allowing crew kickoff to complete
- Adjust event validation to support broader event tracking

* Rename event_bus to crewai_event_bus for improved clarity and specificity

- Replace all references to `event_bus` with `crewai_event_bus`
- Update import statements across multiple files
- Remove the old `event_bus.py` file
- Maintain existing event handling functionality

* Enhance EventListener with singleton pattern and color configuration

- Implement singleton pattern for EventListener to ensure single instance
- Add default color configuration using EMITTER_COLOR from constants
- Modify log method calls to use default color and remove redundant color parameters
- Improve initialization logic to prevent multiple initializations

* Add FlowPlotEvent and update event bus to support flow plotting

- Introduce FlowPlotEvent to track flow plotting events
- Replace Telemetry method with event bus emission in Flow.plot()
- Update event bus to support new FlowPlotEvent type
- Add test case to validate flow plotting event emission

* Remove RunType enum and clean up crew events module

- Delete unused RunType enum from crew_events.py
- Simplify crew_events.py by removing unnecessary enum definition
- Improve code clarity by removing unneeded imports

* Enhance event handling for tool usage and agent execution

- Add new events for tool usage: ToolSelectionErrorEvent, ToolValidateInputErrorEvent
- Improve error tracking and event emission in ToolUsage and LLM classes
- Update AgentExecutionStartedEvent to use task_prompt instead of inputs
- Add comprehensive test coverage for new event types and error scenarios

* Refactor event system and improve crew testing

- Extract base CrewEvent class to a new base_events.py module
- Update event imports across multiple event-related files
- Modify CrewTestStartedEvent to use eval_llm instead of openai_model_name
- Add LLM creation validation in crew testing method
- Improve type handling and event consistency

* Refactor task events to use base CrewEvent

- Move CrewEvent import from crew_events to base_events
- Remove unnecessary blank lines in task_events.py
- Simplify event class structure for task-related events

* Update AgentExecutionStartedEvent to use task_prompt

- Modify test_events.py to use task_prompt instead of inputs
- Simplify event input validation in test case
- Align with recent event system refactoring

* Improve type hinting for TaskCompletedEvent handler

- Add explicit type annotation for TaskCompletedEvent in event_listener.py
- Enhance type safety for event handling in EventListener

* Improve test_validate_tool_input_invalid_input with mock objects

- Add explicit mock objects for agent and action in test case
- Ensure proper string values for mock agent and action attributes
- Simplify test setup for ToolUsage validation method

* Remove ToolUsageStartedEvent emission in tool usage process

- Remove unnecessary event emission for tool usage start
- Simplify tool usage event handling
- Eliminate redundant event data preparation step

* refactor: clean up and organize imports in llm and flow modules

* test: Improve flow persistence test cases and logging",0.2,"Bad Identifier​, Complex, Long, or Inadequate Logic​, Inconsistent or Disrupted Formatting​","Complex, Long, or Inadequate Logic​, Inadequate Logging and Monitoring​, Unnecessary Code​","Bad Identifier​, Inconsistent or Disrupted Formatting​","Inadequate Logging and Monitoring​, Unnecessary Code​","Complex, Long, or Inadequate Logic​"
0138396e4dc66b8356914b50ff1f9a536358f2cf,"Implement `xerotrust` reconcile

Update reconciliation tests

Convert xerotrust reconcile tests to use snapshots

- Change reconcile tests to use compare(actual, expected=snapshot()) pattern
- Add pytest-insta import to test file
- Generate snapshots for reconcile success and mismatch scenarios
- Snapshots capture Rich table output for better test reliability

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>

Add borders to Rich tables for improved readability

WIP - reconcile script

reconcile_daily

fix sorting on main table

fix sorting on main table

Changes needed to get reconcilliation working

Refactor attempt by claude

More claude refactoring

My test refactoring

de-wide

remove unnecessary parse_date

fix typing

Remove unused methods

Simplify date sorting

Simplify reconciliation

Always show table and add --stop-on-diff

unused

fixup",0.0,"Complex, Long, or Inadequate Logic​, Incomplete or Inadequate Code Documentation​, Inconsistent or Disrupted Formatting​",,"Complex, Long, or Inadequate Logic​, Incomplete or Inadequate Code Documentation​, Inconsistent or Disrupted Formatting​",,
050f87992cdd20e4e0df8d99e5be80639acbfdba,Refactor world generator for clarity,0.0,"Incomplete or Inadequate Code Documentation​, Inconsistent or Disrupted Formatting​","Complex, Long, or Inadequate Logic​","Incomplete or Inadequate Code Documentation​, Inconsistent or Disrupted Formatting​","Complex, Long, or Inadequate Logic​",
0758e0d18c621561fec7c20b4ffe46bd9eb9b752,"Update Home Assistant YAML syntax for 2024.8 and 2024.10 changes

This commit updates all YAML configurations to use the new syntax introduced in Home Assistant versions 2024.8 and 2024.10.

## Changes Applied:

### 2024.8 Changes:
- Updated 160+ service calls from 'service:' to 'action:'

### 2024.10 Changes:
- Updated 85+ trigger sections from 'trigger:' to 'triggers:'
- Updated 55+ condition sections from 'condition:' to 'conditions:'
- Updated 85+ action sections from 'action:' to 'actions:'
- Updated 125+ platform definitions from 'platform:' to 'trigger:'

## Summary:
- Total files processed: 66 YAML files
- Files updated: 42 files with automations
- Files unchanged: 24 files (no automations or already current)
- All changes validated - no old syntax patterns remaining

## Files Updated:
- 11 area automation files
- 10 function automation files
- 7 routine automation files
- 5 system & project automation files
- 9 integration configuration files

## Benefits:
- Future-proofed for newer Home Assistant versions
- Improved readability and consistency
- Follows latest Home Assistant best practices
- Fully backward compatible

## Tools Created:
- update_yaml_syntax.py: Automated update script
- validate_yaml_syntax.py: Validation script
- YAML_SYNTAX_CHANGES.md: Comprehensive documentation

All changes have been thoroughly tested and validated.",0.0,"Incomplete or Inadequate Code Documentation​, Inconsistent or Disrupted Formatting​",,"Incomplete or Inadequate Code Documentation​, Inconsistent or Disrupted Formatting​",,
0a791dc5c4937e2d3a7d2e80a9b7571638ed5389,"Add LFGM (New York Mets) color theme

## New Theme: LFGM (Let's Fucking Go Mets)
- **Colors**: Official New York Mets blue (#002d72) and orange (#ff671f)
- **Design**: Blue background with orange accents and white text
- **Styling**: Comprehensive tmux element styling including status bars, borders, messages

## Implementation
- **Questionnaire**: Added LFGM option to color scheme choices with proper ANSI codes
- **Generator**: Full color scheme implementation with Mets blue/orange palette
- **Documentation**: Updated color count from 5 to 6 themes, added visual preview
- **Help Text**: Extended color scheme help to mention LFGM theme

## Visual Design
- Primary blue background (#002d72) for main status bar
- Orange accent (#ff671f) for active windows and highlights
- White text for optimal contrast and readability
- Secondary blue tones for borders and inactive elements
- Comprehensive styling for all tmux UI elements

Perfect for Mets fans who want their terminal to show team pride\! ⚾️🧡💙

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>",0.0,"Incomplete or Inadequate Code Documentation​, Inconsistent or Disrupted Formatting​, Wrong, Missing, or Inadequate String Expression or Literal​",,"Incomplete or Inadequate Code Documentation​, Inconsistent or Disrupted Formatting​, Wrong, Missing, or Inadequate String Expression or Literal​",,
0cf077d4e0b9885e9a24457be9b86e9e0351a933,Refactor code structure for improved readability and maintainability,0.3333333333333333,"Complex, Long, or Inadequate Logic​, Incomplete or Inadequate Code Documentation​, Inconsistent or Disrupted Formatting​","Complex, Long, or Inadequate Logic​","Incomplete or Inadequate Code Documentation​, Inconsistent or Disrupted Formatting​",,"Complex, Long, or Inadequate Logic​"
1058082700c5900c2f19189a1862448ff505ff4e,Merge branch 'master' into codex/update-readme.md-for-clarity,0.0,Incomplete or Inadequate Code Documentation​,,Incomplete or Inadequate Code Documentation​,,
119db3b4896795169ad0efe40dae55c871567d8e,"refactor: implement suggested improvements from PR review

- Rename variables to follow consistent snake_case convention
- Improve documentation with detailed docstrings
- Refactor nested try-except blocks into separate helper functions
- Create constants for repositories and prompt templates
- Simplify import statements for better readability
- Add comprehensive README.md with instructions and documentation

🤖 Generated with [Claude Code](https://claude.ai/code)
Co-Authored-By: Claude <noreply@anthropic.com>",0.4,"Bad Identifier​, Complex, Long, or Inadequate Logic​, Incomplete or Inadequate Code Documentation​, Inconsistent or Disrupted Formatting​, Missing Constant Usage​","Complex, Long, or Inadequate Logic​, Incomplete or Inadequate Code Documentation​","Bad Identifier​, Inconsistent or Disrupted Formatting​, Missing Constant Usage​",,"Complex, Long, or Inadequate Logic​, Incomplete or Inadequate Code Documentation​"
